"date.time","Date","Time","Power","Current","Pressure","Flow","Density"
2015-01-25 04:00:00,"25/01/2015","4:00:00 AM",4190.1582,69.5772505,75.69402705,305.5442967,318.6214792
2015-01-25 04:03:00,"25/01/2015","4:03:00 AM",4068.3604,67.64409528,75.96653449,294.3815999,317.2994991
2015-01-25 04:06:00,"25/01/2015","4:06:00 AM",1420.1771,44.99955054,9.456270943,226.6754704,294.0731254
2015-01-25 04:09:00,"25/01/2015","4:09:00 AM",506.41681,45.75310035,42.20486451,225.7552389,308.2497756
2015-01-25 04:12:00,"25/01/2015","4:12:00 AM",796.33136,38.21273638,62.49350445,238.4559896,318.3152127
2015-01-25 04:15:00,"25/01/2015","4:15:00 AM",489.59686,20.60674123,74.36083725,238.9012656,316.8368919
2015-01-25 04:18:00,"25/01/2015","4:18:00 AM",248.05194,12.81062037,64.03640415,234.4774023,320.7352663
2015-01-25 04:21:00,"25/01/2015","4:21:00 AM",102.13213,5.150723099,35.05916756,228.8293469,303.3132926
2015-01-25 04:24:00,"25/01/2015","4:24:00 AM",98.982933,9.974627066,30.71463702,228.6932386,307.8313206
2015-01-25 04:27:00,"25/01/2015","4:27:00 AM",249.74889,20.90566821,40.67958235,226.324153,304.8712827
2015-01-25 04:30:00,"25/01/2015","4:30:00 AM",281.25714,19.10303224,45.5781098,228.0962446,305.7225057
2015-01-25 04:33:00,"25/01/2015","4:33:00 AM",269.78693,19.66319698,44.0566564,229.3319098,303.6143155
2015-01-25 04:36:00,"25/01/2015","4:36:00 AM",203.99072,12.64304908,46.94980068,230.851844,304.8965648
2015-01-25 04:39:00,"25/01/2015","4:39:00 AM",171.47589,11.46056353,54.35222587,230.2018286,307.639608
2015-01-25 04:42:00,"25/01/2015","4:42:00 AM",111.42034,11.0635356,44.5733398,225.6553699,307.4095988
2015-01-25 04:45:00,"25/01/2015","4:45:00 AM",114.46017,11.22994386,51.13238765,231.5491488,303.3685233
2015-01-25 04:48:00,"25/01/2015","4:48:00 AM",-9,1.481844937,7.886880125,5.111407182,3.375287144
